Size	Mean time (sec)
50x50	0.000313953
100x100	0.00235524
150x150	0.00699318
200x200	0.0139921
250x250	0.0280539
300x300	0.0483973
350x350	0.0727753
400x400	0.108105
450x450	0.16271
500x500 0.221979
550x550	0.297214
600x600	0.393189
650x650	0.501894
700x700	0.584035
750x750	1.3751
800x800	2.94124
850x850	3.92579
900x900	4.99281
950x950	5.64934
1000x1000	7.59801
