Size 	Mean time (sec)
50x50	0.0000401284
100x100	0.000255186
150x150	0.000781336
200x200	0.00183216
250x250	0.00316507
300x300	0.0046429
350x350	0.007889
400x400	0.0119323
450x450	0.0173873
500x500	0.0240247
550x550	0.0269729
600x600	0.0354623
650x650	0.0457583
700x700	0.0617543
750x750	0.12688
800x800	0.271087
850x850	0.357477
900x900	0.449974
950x950	0.561835
1000x1000	0.686462
